publisher_id,publisher
677,Stygian Software
678,Onipunks Studio Inc.
679,Digerati Distribution
680,Krillbite Studio
681,"Escape Hatch Entertainment, LLC"
682,Yacht Club Games
683,Koch Media
684,Loiste Interactive
685,Behold Studios
686,9heads Game Studios
687,BlueLine Games
688,Nocturnal works
689,MagicalTimeBean
690,Kiz Studios
691,Matt Makes Games Inc.
692,Ivy Games
693,"International Games System, Co., LTD."
694,The Fun Pimps Entertainment LLC
695,FlukeDude
696,Mastertronic
697,Auroch Digital
698,Leadwerks Software
699,Wales Interactive
700,MangaGamer
701,Vertigo Games
702,Firebrand Games
703,Cornered Rat Software
704,JoyMasher
705,GameCask
706,8888888 LABS
707,Candescent Games
708,Asteroid Base
709,"KOEI TECMO GAMES CO., LTD."
710,Machine Studios
711,Frima Studio
712,Studio Evil
713,Blue Isle Studios
714,Midnight City
715,Completely Fair Games LLC
716,Image & Form Games
717,PD Design Studio
718,Facepunch Studios
719,Aerosoft GmbH
720,Rocketcat Games
721,Minor Key Games
722,BeautiFun Games
723,"SmiteWorks USA, LLC"
724,"Jackbox Games, Inc."
725,Crunching Koalas
726,Hailstorm Games
727,Leafy Games
728,"Psyonix, Inc."
729,Elefantopia
730,Flippfly LLC
731,Screen 7
732,Gears for Breakfast
733,(none)
734,Infinitap Games
735,"Nicalis, Inc"
736,Axis Game Factory LLC
737,Glass Bottom Games
738,Crescent Moon Games
739,DigitalDNA Games LLC
740,ESTsoft Inc.
741,Privateer Press Interactive
742,Blazing Griffin
743,Final Boss Entertainment
744,Aartform
745,Spearhead Games
746,Expansive Worlds
747,Treasure
748,grapefrukt games
749,WayForward
750,Cherry Pop Games
751,Mighty Rocket Studio
752,Double Fine Presents
753,Wizards of the Coast
754,KISS ltd
755,Xiotex Studios Ltd
756,"Fantasy Flight Publishing, Inc."
757,CBE Software s.r.o.
758,Lightmare Studios
759,2Play
760,Space Bullet Dynamics Corporation
761,Vector Unit
762,Forever Entertainment S. A.
763,Heart Machine
764,Winter Wolves
765,Awesome Games Studio
766,Triple.B.Titles
767,Endless Loop Studios
768,none
769,Fruitbat Factory
770,Nomad Games
771,The Astronauts
772,Cartoon Network Games
773,PolyPusher Studios
774,WB Games
775,Infernum Productions AG
776,Arachnid Games
777,Naiad Entertainment LLC
778,Celsius Game Studios
779,SeeThrough Studios
780,Agharta Studio
781,Lonely Troops
782,Flix Interactive
783,LookAtMyGame
784,Phr00t's Software
785,FUN Creators
786,Iteration 11
787,Netcore Games
788,Sakura River Interactive
789,Artifex Mundi
790,Aardman Animations
791,Spawn Digital
792,Scientifically Proven
793,Encore
794,Eutechnyx
795,ORiGO GAMES
796,Viva Media Inc
797,Sixteen Tons Entertainment
798,Iocaine Studios
799,Serenity Forge
800,Xtal Sword
801,Sumom Games
802,Xaviant Games
803,DolphinBarn
804,Kitty Lambda Games Inc.
805,ALLPlayer Group Ltd.
806,Doppler Interactive
807,Pinkerton Road Studio
808,Red Hook Studios
809,Effat Effati
810,Signal Studios
811,eigoMANGA
812,New Gravity Laws
813,Toco Games
814,Rake in Grass
815,Noble Empire Corp.
816,Hörberg Productions
817,Nkidu Games Inc.
818,WaveDNA
819,Darkmire Entertainment
820,Milkstone Studios
821,Nine Dots Studio
822,Stirfire Studios
823,Avidly Wild Games
824,HeroCraft
825,10tons Ltd
826,Excalibur Publishing
827,Heydeck Games
828,"Mindware Co.,Ltd."
829,Artnumeris
830,Breakfall
831,North Side
832,IndieGala
833,Giant Box Games
834,Space Budgie
835,ovos
836,Unbound Creations
837,The Dept of Silly Stuff
838,Sweet Dog Studios
839,Oovee® Game Studios
840,"H2 Interactive Co., Ltd."
841,Actigame Publishing Corp.
842,Jason Oda
843,Instant Kingdom
844,South East Games
845,Popcannibal
846,Strike Games
847,Versus Evil	
848,Black Shell Media
849,Mad Otter Games
850,Ultra Runaway Games
851,MadAboutGamesStudios
852,Semaphore
853,Angry Mob Games
854,Dreamatrix
855,Chaosoft Games
856,TIKIPOD
857,TwinDrills
858,A Jolly Corpse
859,EQGames
860,Primate Labs Inc.
861,Vae Victis Games
862,Waz Games
863,Silver Dollar Games
864,TawStudio Entertainment
865,Interdimensional Games Inc
866,ShortRound Games
867,Zaxis Games
868,Krealit
869,Reef Entertainment
870,Rocket Jump
871,Sekai Project
872,Lucid Games Ltd
873,Lantana Games
874,Bloober Team SA
875,Droid Riot
876,Merge Games
877,Rockin Android
878,Matt Roszak
879,Fistful of Frags Team
880,KinifiGames LLC
881,Limasse Five
882,KEMCO
883,Switchblade Monkeys Entertainment
884,Net Games Distribution LTD
885,The Working Parts
886,PIXOWL INC.
887,Nowhere Studios
888,Sherman3D
889,Matthew Brown
890,White Paper Games
891,Wastelands Interactive
892,Epixx.org
893,Thomas Bowker
894,Peoleo Entertainment
895,Homegrown Games
896,Project Whitecard Studios Inc.
897,Terrible Posture Games LLC
898,Smilegate West
899,Snowed In Studios
900,Tethys Interactive LLC
901,White Giant RPG Studios
902,Deadly Red Cube
903,Bill and Eli Productions
904,VipaGames
905,The Game Creators
906,Seaven Studio
907,Bongfish GmbH
908,Hammer Labs
909,iRacing.com Motorsport Simulations
910,Elijah Newman-Gomez
911,"BitMonster, Inc."
912,Defiant Development
913,BANDAI NAMCO Entertainement
914,Kerberos Productions Inc.
915,Arc System Works
916,Funbox Media Ltd
917,INSGAMES LIMITED
918,Phenomenon Games
919,Barnyard Intelligence Games
920,Aeria Games
921,Reverb
922,Brilliant Skies Ltd.
923,Liminal Games
924,SmashGames
925,Legacy Games
926,EVGA
927,5 Lives Studios
928,Eversim
929,Studio MDHR Entertainment Inc.
930,Visual Outbreak
931,ToMorning Productions
932,Ska Studios
933,Damian Sommer
934,Simogo
935,XGen Studios
936,Perilous Orbit
937,Dear Villagers
938,Panic Art Studios
939,Culture Attack Studio
940,Fred Wood
941,Rsupport Inc.
942,Toge Productions
943,Bedtime Digital Games
944,Organic Humans
945,Hexage
946,Polynetix Studio
947,Screaming Bee
948,TreeFortress Games
949,Slav Pankratov
950,GTGD
951,The Indie Forge
952,Ranmantaru Games
953,Dev Arc
954,Dreadlocks Ltd.
955,Frogmind
956,Morgondag
957,HB Studios
958,Pixel Ferrets
959,Digital Happiness
960,Ayyo Games
961,GATO STUDIO
962,Laminar Research
963, 
964,David Amador
965,Flying Carpets Games
966,"MindBlocks Studio, LLC"
967,Cloudhead Games ltd.
968,Osumia Games
969,The Quinnspiracy
970,Chicken in The Corn
971,Icetesy SPRL
972,Digital Media Workshop
973,Flox Studios Ltd.
974,Squinkifer Productions
975,bitSmith Games
976,"Cypress Inheritance, LLC"
977,82 Apps
978,Tin Man Games
979,Uppercut Games Pty Ltd
980,3f Interactive
981,Trickster Face
982,Himalaya Studios
983,SFB Games
984,PlayWay S.A.
985,BumpkinBrothers
986,Senscape
987,Dead Mage
988,Fellow Traveller
989,Nexon Korea Corporation
990,Loren Lemcke
991,Interplay Corp
992,Reiza Studios
993,Sunlight Games
994,Camel 101
995,rondomedia GmbH
996,Stellar Jockeys
997,Acid Wizard Studio
998,"Laser Guided Games, LLC"
999,JForce Games
1000,Holotech Studios
1001,Digital Confectioners
1002,WEB Gaming Entertainment
1003,Three Flip Studios
1004,Midnight City 
1005,Graviteam
1006,Coatsink
1007,familyplay
1008,Spilt Milk Studios Ltd
1009,Dancing Devils
1010,Aldorlea Games
1011,Tricktale
1012,HyperKat Games
1013,Alastair John Jack
1014,DiggerWorld Ltd.
1015,Valorware
1016,Last Dimension
1017,Owl Cave
1018,Microids Indie
1019,Keybol
1020,TopWare Interactive
1021,Lost Decade Games
1022,Lince Works
1023,Rogue Earth LLC
1024,Knuckle Cracker
1025,"BBEW BBEW, LLC"
1026,DMD Enterprise
1027,Indietopia Games 
1028,LeGrudge & Rugged
1029,Siege Games
1030,Application Systems Heidelberg
1031,Doragon Entertainment
1032,WRF Studios
1033,Burian Media Enterprises
1034,Krita Team
1035,Serious Brothers
1036,Playful Corp.
1037,Yuisy
1038,MAG Studios
1039,Digital Fusion Inc.
1040,4PM GAME
1041,Dreamworlds
1042,PixelNAUTS
1043,EasyAntiCheat Ltd
1044,polynation games ltd
1045,Digital Tentacle
1046,Never Don't Play
1047,Mastertech
1048,"Idea Factory International, Inc."
1049,Agent Mega
1050,Suba Games
1051,Armor Games Studios
1052,Iron Bit
1053,"Marauder Interactive, LLC"
1054,Zooloretto
1055,Zero Rock Entertainment
1056,Crystal Shard
1057,Humongous Entertainment
1058,Refactored Games OÜ
1059,Epiphany Games
1060,BeamNG
1061,Morgopolis Studios
1062,Teyon
1063,Finish Line Games
1064,Finji
1065,DL Softworks
1066,Lace Games
1067,Visual Entertainment And Technologies
1068,Magic Notion Ltd
1069,Tortuga Team
1070,RageSquid
1071,Schell Games
1072,Payload Studios
1073,"BadFly Interactive, a.s."
1074,Ice Water Games
1075,Berserk Games
1076,Frogdice
1077,WaterMelon
1078,Trichotomy
1079,Nemoria Entertainment
1080,Farsky Interactive
1081,Adventure Productions
1082,GLITCH
1083,Viva  Media Inc
1084,Gameforge 4D GmbH
1085,b-alive gmbh
1086,"CAPCOM Co., Ltd."
1087,different cloth
1088,2dengine
1089,Barnstorm Games
1090,Star Vault AB
1091,Sirlin Games
1092,Dinosaur Polo Club
1093,Shit-Happens-Software
1094,"Castle Pixel, LLC."
1095,WZOGI
1096,Akupara Games
1097,Spark Plug Games
1098,Adventurepro Games LLC
1099,"Perfect.Golf, Inc."
1100,Fireproof Games
1101,sakevisual
1102,astragon Entertainment 
1103,WOBBL3 Entertainment LLC
1104,Incandescent Games
1105,Retro Game Crunch
1106,Bitbox Ltd.
1107,Draknek
1108,Quantized Bit
1109,Double Damage Games
1110,Defrost Games
1111,League of Geeks
1112,Apparition Games
1113,"CyberStep, Inc."
1114,Vogelsap
1115,Logic Artists
1116,Panzer Gaming Studios
1117,ELYLAND  INVESTMENT COMPANY Ltd
1118,Over The Moon
1119,Grey Box
1120,"Sunstone Games, LLC."
1121,Bretwalda Games
1122,SomaSim
1123,Handsome Games
1124,Haruneko Entertainment
1125,8Floor
1126,Trese Brothers
1127,Meteoric Games
1128,One Aperture
1129,OtakuMaker SARL
1130,Gentleman Squid Studio
1131,BANDAI NAMCO Entertainment America
1132,Niels Bauer Games
1133,My.com
1134,Electric Eggplant
1135,Filament Games
1136,Pyrodactyl
1137,Kumobius
1138,Orphic Software
1139,Microblast Games
1140,SOF Studios Ltd
1141,30/30
1142,Blue Manchu
1143,Naga Entertainment
1144,The Alpha Company
1145,Astral Byte Ltd.
1146,PlayEveryWare
1147,Scorpius Games
1148,AAD Productions
1149,Digital Dreams Entertainment LLC
1150,Masthead Studios Ltd
1151,MoaCube
1152,Vector Games
1153,Camshaft Software
1154,Powerhoof
1155,Psydra Games LLC
1156,Fixpoint Productions Ltd.
1157,Exkee
1158,Aartform Games
1159,Wax Lyrical Games
1160,VaragtP
1161,Lumenox ehf
1162,Ludeon Studios
1163,Zojoi
1164,1C Online Games
1165,Heart Shaped Games LLC
1166,Magnetic Realms
1167,Artem Kotov
1168,PPC
1169,Graphite Lab
1170,EQG
1171,Psychic Games Ltd.
1172,Windybeard
1173,Ian Snyder
1174,Hippomancer
1175,E-Line Media
1176,Section Studios
1177,Nick Donnelly
1178,Paleozoic
1179,Micro Factory Games
1180,Titans
1181,Atapki
1182,None - Independent
1183,Zueira Digital
1184,Talking About Media
1185,Genee Network
1186,Flat Earth Games
1187,Aquiris Game Studio
1188,Stegersaurus Software Inc.
1189,Team Tripleslash
1190,Steve Jarman
1191,Studio Paint
1192,Numantian Games
1193,Kardfy Studios
1194,Demon Wagon Studios
1195,kunst-stoff GmbH
1196,Junkfish Limited
1197,Vivid Games S.A.
1198,Arcade Injection
1199,Asteristic Game Studio
1200,AwesomeBlade
1201,Hapa Games
1202,Ubisoft Entertainment
1203,Oryx Design Lab
1204,Nerd Monkeys®
1205,Wrestling Gamers United
1206,Firebase Industries Ltd.
1207,PostMod Softworks
1208,Trickster Arts
1209,Vexel Games
1210,Notorious Games
1211,Unfinished Pixel
1212,Revistronic
1213,Phosphor Games
1214,Wargaming Labs
1215,Hunted Cow Studios
1216,Scott Cawthon
1217,"Vermont Software Studios,LLC"
1218,"Rocketeer Games Studio, LLC"
1219,Creability
1220,-
1221,Jujubee S.A.
1222,Studio Eres
1223,Nano Games
1224,Juicy Beast Studio
1225,Etter Studio
1226,Evil Twin Artworks
1227,Night Node
1228,Pixelsaurus Games
1229,Toadman Interactive
1230,White Lotus Interactive
1231,candyrocketstudio
1232,Chubby Pixel
1233,Big Head Games Ltd
1234,Choice of Games
1235,Sunside Inc
1236,"Grimm Bros, LLC"
1237,Nyamyam
1238,Dan Walters
1239,Entrada Interactive LLC
1240,Glass Knuckle Games
1241,Evilized productions
1242,Pavel Bulatov
1243,Anchora Games
1244,Smolders
1245,"Data Realms, LLC	"
1246,Stolen Couch Games
1247,BlackMoon Design 
1248,Helvetica Scenario
1249,Two Desperados
1250,"Acceleroto, Inc."
1251,Serellan LLC
1252,Flying Wild Hog
1253,Plug in Digital
1254,Sport1 GmbH
1255,InterAction studios
1256,Mad Data GmbH & Co. KG
1257,Arctic Anteater
1258,Gameblyr
1259,Yazar Media Group LLC
1260,La Moustache Studio
1261,Freejam
1262,Curious Panda Games
1263,PGN Inc
1264,Crytek 
1265,XP
1266,Subvert Games
1267,Ian MacLarty
1268,Room 8 Studio
1269,Digitalmindsoft
1270,Walk Thru Walls Studios
