developer_id,developer
180,Spark Unlimited
181,BlackFoot Studios
182,Hi-Rez Studios
183,"Tilted Mill Entertainment, Inc."
184,Crytek
185,Maxis™
186,DICE
187,EA Black Box
188,BioWare
189,EA Redwood Shores
190,EA Los Angeles
191,Zombie Panic Team
192,Octoshark Studios
193,GameConnect
194,Empires
195,Hothead Games
196,Futuremark
197,Shorebound Studios
198,Fakt Software
199,4Head Studios
200,Hidden Path Entertainment
201,Inventive Dingo
202,Broken Rules
203,Brian Cronin
204,Double Helix Games
205,Climax Studios
206,G5 Entertainment
207,Dialogue Design
208,Strawdog Studios Ltd
209,Luc Bernard
210,Perpetual FX Creative
211,"Volition, Inc."
212,Moonpod
213,Sidhe
214,CD PROJEKT RED
215,Traveller's Tales
216,Deadline Games
217,Deadline Games  
218,"Monolith Productions, Inc."
219,Day 1 Studios
220,TT Games
221,Dark Castle Software
222,Games Faction
223,Eipix
224,Proper Games
225,Capcom
226,Ubisoft Reflections
227,Ubisoft  Shanghaï
228,2D BOY
229,TaleWorlds Entertainment
230,Frictional Games
231,Paradox Development Studio
232,ACE Team
233,Bethesda Game Studios
234,Splash Damage
235,Obsidian Entertainment
236,inXile Entertainment
237,Apus Software
238,Team17 Digital Ltd
239,Team17 Software Ltd. 
240,Red Chain Games Ltd.
241,Square Enix
242,Haemimont Games
243,Realmforge Studios
244,"Vicious Cycle Software, Inc."
245,Soldak Entertainment
246,Dovetail Games
247,Daybreak Game Company
248,OVERKILL Software
249,NeocoreGames
250,"Bit Blot, LLC"
251,N3V Games
252,EA - Maxis
253,Criterion Games
254,Slightly Mad Studios
255,Wolfire Games
256,Mindstorm Studios
257,Basilisk Games
258,Playbrains
259,Black Sea Studios Ltd
260,1C:InoCo
261,BattleGoat Studios
262,Nitro Games
263,Cyberlore
264,Twisted Pixel Games
265,Paleo Entertainment
266,Number None
267,Kloonigames
268,Tale of Tales
269,49 Games
270,Zombie Studios
271,Mousechief
272,Red Rocket Games
273,Llamasoft LTD
274,DnS Development
275,KranX Productions
276,Erik Svedäng
277,Hemisphere Games
278,Elecorn
279,Digital Extremes
280,HeR Interactive
281,Thinking Studios
282,TrueThought
283,Black Jacket Studios
284,Petroglyph
285,Aspyr Studios
286,NovaLogic
287,Enlight Software Limited
288,Sigma Team Inc.
289,Brightside Games
290,Ubisoft Montpellier
291,PopTop Software
292,Revolution Software Ltd
293,Synetic
294,Ideas Pad
295,Kokakiki
296,Zaratustra Productions
297,Bamtang
298,DTP
299,"Gunnar Games, Inc."
300,Altar Games
301,Centauri Production
302,Sumo Digital
303,Unicorn Games Studio
304,SaintXi
305,Wargaming.net
306,City Interactive S.A.
307,City Interactive
308,Invent4 Entertainment
309,Honeyslug
310,Rocksteady Studios
311,GFI Russia
312,Targem Games
313,Teotl Studios
314,Power of 2
315,Frima
316,Digital Eel
317,Sakari Indie
318,Sandlot Games
319,Cateia Games
320,3000AD
321,Ice-Pick Lodge
322,FromSoftware
323,Chaos Concept
324,Citeremis Inc.
325,"Big Splash Games, LLC"
326,Aliasworlds Entertainment
327,PlayFirst
328,Wadjet Eye Games
329,Sarbakan
330,Absolutist Ltd.
331,Size Five Games
332,Yullaby
333,Vectorpark
334,8monkey Labs
335,Gamerizon
336,iWin
337,Hip Soft
338,Alawar
339,Awem Studio
340,Spidermonk Entertainment
341,"Enlight Software Limited, PerspectX"
342,Interplay Inc.
343,Black Isle Studios
344,14° East
345,Shiny Entertainment
346,Subsoap
347,Two Tribes
348,Virtual Heroes
349,SQUARE ENIX
350,Trion Worlds
351,Piranha Bytes
352,4HEAD Studios
353,Phenomic
354,Homegrown Games
355,THQ Nordic
356,4 Head Studios
357,Cauldron
358,Rune Forge
359,Spellbound Studios
360,DiezelPower
361,ZoopTEK
362,Sabi Games
363,Stormregion
364,Animation Arts
365,"Arcen Games, LLC"
366,Makivision Games
367,Amanita Design
368,The Odd Gentlemen
369,Illusion Softworks
370,Croteam
371,Konstantin Koshutin
372,Nimbly Games
373,"Dream Forge Entertainment, LLC"
374,Runic Games
375,VIS Interactive
376,Oasis Games
377,Independent Programmist Group
378,Positech Games
379,Trinoteam
380,Fatshark
381,Dark Water Studios Ltd
382,Crystal Empire Games
383,BL-Logic
384,Kerberos Productions Inc.
385,Arrowhead Game Studios
386,NeoCoreGames
387,Kerberos Productions
388,Blue Fang
389,KTX Software
390,New Star Games Ltd
391,Codemasters Racing
392,Codemasters Birmingham
393,Cadenza Interactive
394,Artery Games
395,Nemesys Games
396,Airtight Games
397,"CAPCOM CO., LTD."
398,Other Ocean Interactive
399,Capcom Vancouver
400,Ludosity
401,SkyRiver Studios
402,Elite Games Team
403,X-Bow Software
404,SoftLab-NSK
405,Headup Games
406,ClockStone Studios
407,Silent Dreams
408,Microids
409,Octane Games
410,Headup Games / Crenetic
411,MC2
412,Dedication Games
413,Totem Games
414,Dagger Games
415,Icehole Games
416,Darkling Room
417,Muzzy Lane Software
418,Ntronium Games
419,Totem games
420,Dust Devil Studios Inc.
421,Gogii
422,Gogiii
423,Visceral Games
424,Electronic Arts
425,Stainless Games
426,The Sims Studio
427,Playdead
428,Exkee
429,Blue Byte
430,VStep
431,Vanguard Games
432,Stainless Games Ltd
433,Cold Beam Games
434,Muse Games
435,Beatnik Games
436,Noumenon Games
437,2K Czech
438,YAGER
439,doublesix
440,Big Fish Studios
441,Blendo Games
442,Relic
443,Over the Top Games
444,Doctor Entertainment AB
445,Gaming Minds Studios
446,Mediatonic
447,Coreplay GmbH
448,Stickmen Studios
449,Brawsome
450,Binary Takeover
451,Source Studio Ltd.
452,4sdk
453,YeaBoing
454,Cipher Prime Studios
455,Secret Exit Ltd.
456,Capybara Games
457,Firemint
458,Zoë Mode
459,Big Sandwich Games
460,bitComposer Games
461,Uber Entertainment
462,Ronimo Games
463,Cyan Worlds
464,Gaijin Games
465,Lunar Giant
466,Ino-Co
467,Digitalmindsoft
468,Red Dot Games
469,Giants Software
470,React Games
471,Streko Graphics
472,Mind Over Matter Studios
473,Eggtooth Team
474,Trine Studios
475,Trendy Entertainment
476,2K Marin
477,Dmytry Lavrov
478,800 North and Digital Ranch
479,exosyphen studios
480,I Sioux Game Productions B.V.
481,Terry Cavanagh
482,EasyGameStation
483,Grendel Games
484,Blind Mind Studios
485,StarWraith 3D Games LLC
486,SEGA
487,Devil's Details
488,Eyebrow Interactive
489,Tomkorp Computer Solutions Inc.
490,Clara Lehenaff
491,Colossal Order Ltd.
492,Martin Ivanov
493,Ageod
494,BlueGiant Interactive
495,Red Redemption
496,Ivy Games
497,Joshua Neurnberger
498,Relentless Software
499,Digital Reality
500,11 bit studios
501,X1 Software
502,Coffee Stain Studios
503,Streum On Studio
504,Bacon Wrapped Games
505,Steel Monkeys
506,Dark Energy Digital Ltd.
507,Geoff 'Zag' Keene
508,Platine Dispositif
509,Extend Studio
510,Copenhagen Game Collective
511,"WXP Games, LLC"
512,Black Lion Studios
513,Zachtronics
514,Actalogic
515,Puppygames
516,Stout Games
517,Final Form Games
518,Cockroach Inc.
519,Messhof
520,Straandlooper
521,SpikySnail
522,Alientrap
523,Sparpweed
524,Peter Brinson and Kurosh ValaNejad
525,Games Farm
526,Colibri Games
527,Paul Fisch
528,Kot in Action Creative Artel
529,IllFonic
530,Fire Hose Games
531,Murudai
532,TimeGate Studios
533,Krystian Majewski
534,Mode 7
535,Signal Studios
536,Flying Wild Hog
537,Game Distillery s.r.o.
538,Zeroscale
539,"Gaslamp Games, Inc."
540,Bedlam Games
541,Killspace Entertainment
542,Dead Mage
543,"Nicalis, Inc."
544,"Grey Havens, LLC"
545,Pilgway
546,Mystic Box
547,Michael Brough
548,Big Huge Games
549,Robot Entertainment
550,Trapdoor Inc.
551,Cobra Mobile
552,Jason Rohrer
553,Big Fat Alien
554,Spiral Game Studios
555,Daedalic Entertainment
556,State of Play Games
557,Manic Game Studios
558,Ensemble Studios
559,Re-Logic
560,Secret Base
561,Q-Games Ltd.
562,Supergiant Games
563,MinMax Games Ltd.
564,Zeboyd Games
565,Squid In A Box Ltd
566,Little Green Men Games
567,Days of Wonder
568,Strange Loop Games
569,The Indie Stone
570,Endlessfluff Games
571,Pixelante Game Studios
572,Hazardous Software Inc.
573,Digital Arrow
574,PomPom
575,PomPom Games
576,Team Bondi
577,Total Eclipse
578,Total Eclipse P.C.
579,Owlchemy Labs
580,NGD Studios
581,Mommy's Best Games
582,Spiderweb Software
583,Pocketwatch Games
584,Edmund McMillen and Florian Himsl
585,Little Orbit
586,D-Pad Studio
587,Eclipse Games
588,Spectral Games
589,Olde Sküül
590,Wild Shadow Studios
591,1C-Avalon
592,Zeal Game Studio
593,Unigine Corp.
594,"Bit Planet Games, LLC"
595,Dark Artz Entertainment
596,Desert Owl Games LLC
597,Ironclad Games
598,Vlambeer
599,b-Alive
600,Team 6 Studios
601,Boss Baddie
602,Machine Games
603,Cyanide Montreal
604,Stardock Entertainment
605,BUGBEAR
606,TikGames
607,RC Knight
608,Longbow Games
609,"Hassey Enterprises, Inc."
610,1C-SoftClub
611,Lizsoft
612,Bootsnake Games
613,Ino-Co Plus
614,ASTRO PORT
615,Lionhead Studios
616,Capybara
617,Rockstar Studios
618,Eden Industries
619,Retro Affect
620,Ty Taylor and Mario Castañeda
621,The Behemoth
622,RichMakeGame
623,Rocket Bear Games
624,Cyanide Studio
625,Dancing Dots
626,"Vblank Entertainment, Inc."
627,Biart
628,Golgoth Studio
629,Ubisoft - San Francisco
630,Arkedo
631,UL
632,Sakari Indie & GriN
633,Brandon Brizzi
634,Shadow Planet Productions
635,Black Pants Studio
636,Blit Software
637,Suspicious Developments
638,ACQUIRE Corp.
639,System Prisma
640,DrinkBox Studios
641,Deep Silver Volition
642,Freebird Games
643,"Standing Stone Games, LLC"
644,Carbon Games
645,Reality Pump
646,Enigma SP
647,Digital Reality Software & Playbox
648,BlinkWorks Media
649,DoubleDutch Games
650,Almost Human Games
651,exDream
652,CodeBrush Games
653,3 Sprockets
654,Nihon Falcom
655,Flat Software
656,Tennen-sozai
657,Tribute Games Inc.
658,David Williamson
659,UBIart Montpellier
660,Joakim Sandberg
661,increpare games
662,Misfits Attic
663,Big Robot Ltd
664,ExDream GmbH
665,Empty Clip Studios
666,Trickstar Games
667,Southend
668,AMPLITUDE Studios
669,Shovsoft
670,Gaijin Entertainment Corporation
671,Finn Morgan
672,WB Games Montreal
673,Slant Six Games
674,"Capcom U.S.A., Inc."
675,Curve Studios
676,Waterlily Games
677,Doublesix Games
678,Love Conquers All Games
679,The Binary Mill
680,Born Ready Games Ltd.
681,Pantera Entertainment
682,Sledgehammer Games
683,Data Realms
684,Subatomic Studios LLC
685,Wizarbox
686,Burut CT
687,Jasper Byrne
688,Jet Set Games
689,Spry Fox LLC
690,Spaces of Play
691,Pwnee Studios
692,Human Head Studios
693,"Thekla, Inc."
694,"Creative Assembly, PC Port - Hardlight"
695,Talawa Games
696,Spooky Squid Games Inc.
697,Hanako Games
698,Kyle Pulver
699,"Tequila Works, S.L."
700,Smudged Cat Games Ltd
701,Sector3 Studios
702,Yeti Trunk
703,Looking Glass Studios
704,Black Market Games
705,Chucklefish
706,Illwinter Game Design
707,Fishlabs Entertainment GmbH
708,Qooc Software
709,XII Games
710,Star Gem Inc.
711,Turtle Cream
712,devCAT
713,Cloud 9 Studio
714,Ubisoft Paris
715,Subset Games
716,Crankshaft Games
717,New Star Games
718,Overhaul Games
719,BitSits Games
720,"Engient, Inc"
721,IPACS
722,Larian Studios
723,SuperVillain Studios
724,Creative Assembly
725,Edelweiss
726,773
727,Aspyr
728,SNK Games
729,Edmund McMillen
730,Opus
731,Aleksey Abramenko
732,Ankama Studio
733,KING Art
734,Lukewarm Media
735,Ratloop Asia
736,stealth.gg
737,Noumena Studios
738,Benjamin Rivers Inc.
739,Okugi Studio
740,ASK Homework
741,Naddic Games
742,I-deal Games
743,Kukouri
744,Camel101 LLC
745,Nexon
746,Big Ant Studios
747,Rubicon Development
748,Cyanide Studio - Spiders Studios
749,Slipgate Ironworks™
750,Dreampainters
751,CI Games
752,2x2 Games
753,"Level Up Labs, LLC"
754,OVERKILL - a Starbreeze Studio.
755,Shiver Games
756,5th Cell Media
757,Might and Delight
758,Keen Software House
759,Dennaton Games
760,Stoic
761,Torn Banner Studios
762,Ed Key and David Kanaga
763,Transhuman Design
764,Alexander Bruce
765,Crate Entertainment
766,SkyGoblin
767,Squad
768,"Ubisoft Montreal, Massive Entertainment, and Ubisoft Shanghai"
769,"HeR Interactive, Inc."
770,Ninja Theory
771,Serious Brew
772,Zero Sum Games
773,KADOKAWA
774,Bithell Games
775,Exor Studios
776,Sos Sosowski
777,"Xavi Canal, Ben Palgi"
778,Rudolf Kremers & Alex May
779,Tomorrow Corporation
780,Skybox Labs
781,Galactic Cafe
782,Neko Entertainment
783,Red Fly Studio
784,SNK CORPORATION
785,Abbey Games
786,New World Interactive
787,CSR-Studios
788,Dambuster Studios
789,Black Forest Games
790,Zeptolab UK Limited
791,BlackMark Studio
792,Avatar Creations
793,][ Games Inc
794,Running With Scissors
795,ioneo
796,IonFx
797,Team Psykskallar
798,Ankama Games
799,Eagle Dynamics SA
800,Goldhawk Interactive
801,Blackbird Interactive
802,No More Room in Hell Team
803,Compulsion Games
804,Young Horses
805,Robotronic Games
806,Virtuos
807,Polytron Corporation
808,Megadev
809,Core Design
810,Starbreeze Studios AB
811,General Arcade
812,Puny Human
813,Ascaron
814,Sven Co-op Team
815,Codemasters
816,QCF Design
817,Radial Games Corp
818,Milestone S.r.l.
819,Wormwood Studios
820,Minority Media Inc.
821,Badland Studio
822,Tiger Style
823,Artifice Studio
824,Digital Leisure Inc.
825,Tragnarion Studios
826,EightyEightGames
827,SEGA Studios Australia
828,Sauropod Studio
829,"Sperasoft, Inc."
830,RETO MOTO
831,Beamdog
832,DONTNOD Entertainment
833,Bugbear
834,17-BIT
835,Iron Galaxy Studios
836,Cube Roots
837,HyperSloth
838,FarmerGnome
839,Hello Games
840,Going Loud Studios
841,Iron Tower Studio
842,Colin Northway with art by Thomas Shahan
843,Brightrock Games
844,Metanet Software Inc.
845,Giant Army
846,Spicy Horse
847,Geniaware Srl
848,NIGORO
849,Internal Games
850,Droqen
851,Eko Software
852,Threaks
853,Focus Home Interactive
854,"Olli Harjola, Otto Hantula, Tom Jubert, Carlo Castellano"
855,Cardboard Computer
856,Santa Ragione
857,Lucky Frame
858,Behold Studios
859,Snowbird Games
860,Fullbright
861,Spiders
862,Halycon Media GmbH & Co. KG
863,Kuno Interactive
864,Mighty Rocket Studio
865,Locked Door Puzzle
866,Geoff Keighley
867,Shiro Games
868,Eric Chahi
869,Refract
870,Bossa Studios
871,The Men Who Wear Many Hats
872,Lo-Fi Games
873,@unepic_fran
874,MercurySteam - Climax Studios
875,Crocodile Entertainment
876,Demiurge Studios
877,Test3 Projects
878,XYLA Entertainment
879,Harebrained Schemes
880,CyberConnect2 Co. Ltd.
881,Treexy
882,Sean Han Tani
883,The Story Mechanics
884,Point Five Projects
885,PlatinumGames
886,Laboratory Systems
887,Ubisoft Toronto
888,Alexey Bokulev
889,Ludochip
890,Dylan Fitterer
891,I-Illusions
892,Swing Swing Submarine
893,55 Revolver
894,Humble Hearts LLC
895,L3O Interactive
896,March Entertainment
897,Zero Point Software
898,"FromSoftware, Inc"
899,"Mine Loader Software Co., Ltd."
900,BANDAI NAMCO Studio Inc.
901,Brain Slap Studio
902,Serellan LLC
903,KOG
904,Logic Artists
905,Crafty Studios
906,WayForward
907,FreakZone Games
908,Red Thread Games
909,Pathea Games
910,Idea Factory
911,Eidos Montreal
912,Interceptor Entertainment
913,Handyman Studios
914,FarSight Studios
915,Red Barrels
916,Pieces Interactive
917,"Monochrome, Inc"
918,Andrew Morrish
919,Team2Bit
920,Games Distillery s.r.o.
921,Grinding Gear Games
922,Lucas Pope
923,Crackshell
924,Teknopants
925,Eidos-Montréal
926,The Chinese Room
927,MercurySteam
928,Toxic Games
929,NAMCO BANDAI Games
930,Ian Campbell
931,Greenheart Games
932,DoubleBear Productions
933,Panzar Studio
934,Bennett Foddy
935,Conifer Games
936,Game Dev Castle
937,Zen Studios
938,Ivory Tower in collaboration with Ubisoft Reflections
939,Cellar Door Games
940,Exato Games Studio
941,TimeSymmetry
942,Abstraction Games
943,Full Control Studios
944,NetherRealm Studios
945,"Masangsoft, Inc."
946,Endnight Games Ltd
947,Phoenix Online Studios
948,Carlsen Games
949,Indomitus Games
950,M2H
951,Shining Rock Software LLC
952,Quantic Dream
953,Blackpowder Games
954,Untame
955,Phosfiend Systems
956,Tate Multimedia
957,Double Eleven
958,Gamepires
959,777 Studios
960,Kunos Simulazioni
961,Dead Shark Triplepunch
962,Mad Orange
963,Iron Galaxy
964,Team Colorblind
965,"Schine, GmbH"
966,Wingware
967,Michael Todd Games
968,Curve Digital
969,Lucky Pause
970,Poppermost Productions
971,Schulenburg Software
972,Lab Zero Games
973,Junction Point
974,Tindalos Interactive
975,Cyberdreams
976,Sir-Tech
977,Sir-Tech Canada
978,"RedLynx, in collaboration with  Ubisoft Shanghai, Ubisoft Kiev"
979,Ironhide Game Studio
980,Modern Dream
981,Ndemic Creations
982,Ragequit Corporation
983,"Moonshark, Inc."
984,ShadowShifters
985,Aterdux Entertainment
986,Chainsawesome Games
987,"Vex Studios, LLC"
988,WildTangent
989,QUByte Interactive
990,RuneStorm
991,Arkavi Studios
992,Impromptu Games
993,Nomad Games
994,Vertigo Gaming Inc.
995,Brace Yourself Games
996,Studio Bean
997,Crazy Viking Studios
998,Renegade Kid
999,Rising Star Games
1000,Phosphor Games Studio
1001,The Tiniest Shark
1002,Keen Games
1003,Clickteam
1004,Nifflas' Games
1005,Songquito UG
1006,GalaxyTrail
1007,Pixeljam
1008,North of Earth
1009,Chronic Logic
1010,Dekovir Entertainment
1011,Saibot Studios
1012,Biart Company LLC
1013,Team Reptile
1014,Nabi Studios
1015,KillHouse Games
1016,Flyleap Studios Pty. Ltd.
1017,Hitcents
1018,Dischan Media
1019,Hopoo Games
1020,Blue Bottle Games
1021,CreativeForge Games
1022,Petit Depotto
1023,Screwfly Studios
1024,Silk Games
1025,Rain Games
1026,Evolutionary Games
1027,Zootfly
1028,ARTDINK
1029,BetaDwarf
1030,Infinite Monkeys Entertainment Ltd.
1031,Nanmo (Takayuki Yanagihara) @ FullPowerSideAttack.com
1032,Witch Beam
1033,Necrophone Games
1034,Eric Hartman
1035,Archive Entertainment
1036,ClockStone
1037,sparsevector
1038,Stygian Software
1039,Onipunks Studio Inc.
1040,Digerati Distribution
1041,Krillbite Studio
1042,souvenir circ.
1043,"Escape Hatch Entertainment, LLC"
1044,Yacht Club Games
1045,"TREND, Soft Pro"
1046,Loiste Interactive
1047,9heads Game Studios
1048,BlueLine Games
1049,Tuque Games
1050,GrisGris
1051,Nocturnal works
1052,MagicalTimeBean
1053,InterWave Studios
1054,Studio Fizbin
1055,Kiz Studios
1056,Matt Thorson
1057,"International Games System, Co., LTD."
1058,The Fun Pimps
1059,Grip Games
1060,Vivid Games
1061,Auroch Digital
1062,Acclaim Studios Teeside
1063,Leadwerks Software
1064,Zoink Games
1065,Wales Interactive
1066,OVERDRIVE
1067,Vertigo Games
1068,Firebrand Games
1069,Cornered Rat Software
1070,JoyMasher
1071,GameCask
1072,8888888 LABS
1073,Candescent Games
1074,Asteroid Base
1075,Victor Solodilov
1076,Simon Roth
1077,Frima Studio
1078,Studio Evil
1079,Blue Isle Studios
1080,Completely Fair Games LLC
1081,Image & Form Games
1082,PD Design Studio
1083,MR-Software GbR
1084,Liquid Flower
1085,Dirigo Games
1086,Rocketcat Games
1087,Minor Key Games
1088,BeautiFun Games
1089,"SmiteWorks USA, LLC"
1090,DotEmu
1091,"Jackbox Games, Inc."
1092,Crunching Koalas
1093,Hailstorm Games
1094,Leafy Games
1095,"Psyonix, Inc."
1096,Elefantopia
1097,Flippfly LLC
1098,Harvester Games
1099,Robotality
1100,Gears for Breakfast
1101,Radiant Entertainment
1102,Infinitap Games
1103,StarQuail Games
1104,Axis Game Factory LLC
1105,Glass Bottom Games
1106,Crescent Moon Games
1107,DigitalDNA Games LLC
1108,ESTgames Corp.
1109,WhiteMoon Dreams
1110,Final Boss Entertainment
1111,Aartform
1112,Spearhead Games
1113,Expansive Worlds
1114,Treasure
1115,TML-Studios
1116,grapefrukt games
1117,Topware Interactive
1118,Toontraxx Studios
1119,Starbreeze
1120,ProjectorGames
1121,Cherry Pop Games
1122,Hydravision Entertainment
1123,Massive Entertainment
1124,Impressions Games
1125,Humongous Entertainment
1126,Koboldgames
1127,Press Play
1128,Trilobyte Games
1129,Pulse Entertainment
1130,Full Control
1131,Kylotonn Entertainment
1132,Ubisoft Montréal
1133,GameCrafterTeam
1134,Allgraf
1135,2DArray
1136,Northway Games
1137,The Dreamers Guild
1138,Xiotex Studios Ltd
1139,"Fantasy Flight Publishing, Inc."
1140,CBE Software s.r.o.
1141,Lightmare Studios
1142,2Play
1143,Space Bullet Dynamics Corporation
1144,Vector Unit
1145,Forever Entertainment S. A.
1146,Heart Machine
1147,Winter Wolves
1148,Awesome Games Studio
1149,Triple.B.Titles
1150,Endless Loop Studios
1151,TORaIKI
1152,The Astronauts
1153,PlayWay S.A.
1154,Ex Nihilo
1155,PolyPusher Studios
1156,Runewaker
1157,Eden Games
1158,ToonTRAXX Studios
1159,Arachnid Games
1160,Naiad Entertainment LLC
1161,Celsius Game Studios
1162,SeeThrough Studios
1163,Agharta Studio
1164,Lonely Troops
1165,Flix Interactive
1166,Storybird
1167,Phr00t's Software
1168,FUN Creators
1169,Iteration 11
1170,Netcore Games
1171,Sakura River Interactive
1172,Artifex Mundi
1173,Aardman Animations
1174,Upper Byte
1175,Laughing Jackal LTD
1176,Mimimi Productions
1177,The Collective
1178,Ubisoft Sofia
1179,Scientifically Proven
1180,8th Floor Games
1181,Eutechnyx
1182,dtp Entertainment
1183,WizarBox Production
1184,JoWooD Vienna
1185,Sixteen Tons Entertainment
1186,KADOKAWA GAMES / GRASSHOPPER MANUFACTURE
1187,Code Force
1188,RedBedlam
1189,Big Finish Games
1190,Stage 2 Studios
1191,2K Australia
1192,Xtal Sword
1193,Sumom Games
1194,Xaviant
1195,DolphinBarn
1196,Kitty Lambda Games Inc.
1197,ALLPlayer Group Ltd.
1198,Doppler Interactive
1199,Red Hook Studios
1200,BluBee Games
1201,Tomoaki Sugeno
1202,Moonbite Games
1203,Toco Games
1204,Orange_Juice
1205,Rake in Grass
1206,Coilworks
1207,Noble Empire Corp.
1208,Phantom Compass
1209,ComiPo! LLP
1210,Dream Holdings
1211,Hörberg Productions
1212,Niffler Ltd.
1213,WaveDNA
1214,Darkmire Entertainment
1215,Milkstone Studios
1216,Nine Dots Studio
1217,Stirfire Studios
1218,Avidly Wild Games
1219,HeroCraft
1220,10tons Ltd
1221,Excalibur Publishing
1222,Heydeck Games
1223,"Mindware Co.,Ltd."
1224,Matt Kap
1225,Artnumeris
1226,Breakfall
1227,North Side
1228,GhostShark
1229,Giant Box Games
1230,Space Budgie
1231,ovos
1232,Unbound Creations
1233,The Dept of Silly Stuff
1234,Sweet Dog Studios
1235,Oovee® Game Studios
1236,Arc System Works
1237,Mighty Rabbit Studios
1238,Jason Oda
1239,Ville Mönkkönen
1240,Yakiniku Banzai
1241,South East Games
1242,Popcannibal
1243,Strike Games
1244,Wyrmbyte
1245,The Domaginarium
1246,Mad Otter Games
1247,Ultra Runaway Games
1248,"QUAD ARROW Co.,Ltd."
1249,Zenith Blue
1250,MadAboutGamesStudios
1251,Semaphore
1252,Angry Mob Games
1253,Lion's Shade
1254,Dreamatrix
1255,Chaosoft Games
1256,Flow Combine
1257,TIKIPOD
1258,TwinDrills
1259,A Jolly Corpse
1260,MiniBoss
1261,stillalive studios
1262,Primate Labs Inc.
1263,Whole Hog Games
1264,K-D Lab
1265,Vae Victis Games
1266,Waz
1267,Silver Dollar Games
1268,TawStudio Entertainment
1269,Interdimensional Games Inc
1270,ShortRound Games
1271,Zaxis Games
1272,Krealit
1273,WizarBox
1274,Rocket Jump
1275,stage-nana
1276,Lucid Games Ltd
